attack,defense,height,hidden_ability,hp,main_ability,name,national,sp_attack,sp_defense,species,speed,total_stats,types,weight
20,55,0.7 m (2′04″),,50,Shed Skin,Metapod,11,25,25,Cocoon Pokémon,30,205,Bug,9.9 kg (21.8 lbs)
45,50,1.1 m (3′07″),Tinted Lens,60,Compound Eyes,Butterfree,12,90,80,Butterfly Pokémon,70,395,"Bug,Flying",32.0 kg (70.5 lbs)
35,30,0.3 m (1′00″),Run Away,40,Shield Dust,Weedle,13,20,20,Hairy Bug Pokémon,50,195,"Bug,Poison",3.2 kg (7.1 lbs)
25,50,0.6 m (2′00″),,45,Shed Skin,Kakuna,14,25,25,Cocoon Pokémon,35,205,"Bug,Poison",10.0 kg (22.0 lbs)
90,40,"1.0 m (3′03″),1.4 m (4′07″)",Sniper,65,"Swarm,Adaptability",Beedrill,15,45,80,"Poison Bee Pokémon,Poison Bee Pokémon",75,395,"Bug,Poison,Bug,Poison","29.5 kg (65.0 lbs),40.5 kg (89.3 lbs)"
45,40,0.3 m (1′00″),Big Pecks,40,"Keen Eye,Tangled Feet",Pidgey,16,35,35,Tiny Bird Pokémon,56,251,"Normal,Flying",1.8 kg (4.0 lbs)
60,55,1.1 m (3′07″),Big Pecks,63,"Keen Eye,Tangled Feet",Pidgeotto,17,50,50,Bird Pokémon,71,349,"Normal,Flying",30.0 kg (66.1 lbs)
80,75,"1.5 m (4′11″),2.2 m (7′03″)",Big Pecks,83,"Keen Eye,Tangled Feet,No Guard",Pidgeot,18,70,70,"Bird Pokémon,Bird Pokémon",101,479,"Normal,Flying,Normal,Flying","39.5 kg (87.1 lbs),50.5 kg (111.3 lbs)"
56,35,"0.3 m (1′00″),0.3 m (1′00″)","Hustle,Thick Fat",30,"Run Away,Guts,Gluttony,Hustle",Rattata,19,25,35,"Mouse Pokémon,Mouse Pokémon",72,253,"Normal,Dark,Normal","3.5 kg (7.7 lbs),3.8 kg (8.4 lbs)"
81,60,"0.7 m (2′04″),0.7 m (2′04″)","Hustle,Thick Fat",55,"Run Away,Guts,Gluttony,Hustle",Raticate,20,50,70,"Mouse Pokémon,Mouse Pokémon",97,413,"Normal,Dark,Normal","18.5 kg (40.8 lbs),25.5 kg (56.2 lbs)"
60,30,0.3 m (1′00″),Sniper,40,Keen Eye,Spearow,21,31,31,Tiny Bird Pokémon,70,262,"Normal,Flying",2.0 kg (4.4 lbs)
90,65,1.2 m (3′11″),Sniper,65,Keen Eye,Fearow,22,61,61,Beak Pokémon,100,442,"Normal,Flying",38.0 kg (83.8 lbs)
60,44,2.0 m (6′07″),Unnerve,35,"Intimidate,Shed Skin",Ekans,23,40,54,Snake Pokémon,55,288,Poison,6.9 kg (15.2 lbs)
95,69,3.5 m (11′06″),Unnerve,60,"Intimidate,Shed Skin",Arbok,24,65,79,Cobra Pokémon,80,448,Poison,65.0 kg (143.3 lbs)
55,40,"0.4 m (1′04″),0.4 m (1′04″)",Lightning Rod,35,Static,Pikachu,25,50,50,"Mouse Pokémon,Mouse Pokémon",90,320,"Electric,Electric","6.0 kg (13.2 lbs),6.0 kg (13.2 lbs)"
90,55,"0.8 m (2′07″),0.7 m (2′04″)",Lightning Rod,60,"Static,Surge Surfer",Raichu,26,90,80,"Mouse Pokémon,Mouse Pokémon",110,485,"Electric,Electric,Psychic","30.0 kg (66.1 lbs),21.0 kg (46.3 lbs)"
75,85,"0.6 m (2′00″),0.7 m (2′04″)","Sand Rush,Slush Rush",50,"Sand Veil,Snow Cloak",Sandshrew,27,20,30,"Mouse Pokémon,Mouse Pokémon",40,300,"Ground,Ice,Steel","12.0 kg (26.5 lbs),40.0 kg (88.2 lbs)"
100,110,"1.0 m (3′03″),1.2 m (3′11″)","Sand Rush,Slush Rush",75,"Sand Veil,Snow Cloak",Sandslash,28,45,55,"Mouse Pokémon,Mouse Pokémon",65,450,"Ground,Ice,Steel","29.5 kg (65.0 lbs),55.0 kg (121.3 lbs)"
47,52,0.4 m (1′04″),Hustle,55,"Poison Point,Rivalry",Nidoran♀,29,40,40,Poison Pin Pokémon,41,275,Poison,7.0 kg (15.4 lbs)
62,67,0.8 m (2′07″),Hustle,70,"Poison Point,Rivalry",Nidorina,30,55,55,Poison Pin Pokémon,56,365,Poison,20.0 kg (44.1 lbs)
92,87,1.3 m (4′03″),Sheer Force,90,"Poison Point,Rivalry",Nidoqueen,31,75,85,Drill Pokémon,76,505,"Poison,Ground",60.0 kg (132.3 lbs)
57,40,0.5 m (1′08″),Hustle,46,"Poison Point,Rivalry",Nidoran♂,32,40,40,Poison Pin Pokémon,50,273,Poison,9.0 kg (19.8 lbs)
72,57,0.9 m (2′11″),Hustle,61,"Poison Point,Rivalry",Nidorino,33,55,55,Poison Pin Pokémon,65,365,Poison,19.5 kg (43.0 lbs)
102,77,1.4 m (4′07″),Sheer Force,81,"Poison Point,Rivalry",Nidoking,34,85,75,Drill Pokémon,85,505,"Poison,Ground",62.0 kg (136.7 lbs)
45,48,0.6 m (2′00″),Friend Guard,70,"Cute Charm,Magic Guard",Clefairy,35,60,65,Fairy Pokémon,35,323,Fairy,7.5 kg (16.5 lbs)
70,73,1.3 m (4′03″),Unaware,95,"Cute Charm,Magic Guard",Clefable,36,95,90,Fairy Pokémon,60,483,Fairy,40.0 kg (88.2 lbs)
41,40,"0.6 m (2′00″),0.6 m (2′00″)","Drought,Snow Warning",38,"Flash Fire,Snow Cloak",Vulpix,37,50,65,"Fox Pokémon,Fox Pokémon",65,299,"Fire,Ice","9.9 kg (21.8 lbs),9.9 kg (21.8 lbs)"
76,75,"1.1 m (3′07″),1.1 m (3′07″)","Drought,Snow Warning",73,"Flash Fire,Snow Cloak",Ninetales,38,81,100,"Fox Pokémon,Fox Pokémon",100,505,"Fire,Ice,Fairy","19.9 kg (43.9 lbs),19.9 kg (43.9 lbs)"
45,20,0.5 m (1′08″),Friend Guard,115,"Cute Charm,Competitive",Jigglypuff,39,45,25,Balloon Pokémon,20,270,"Normal,Fairy",5.5 kg (12.1 lbs)
70,45,1.0 m (3′03″),Frisk,140,"Cute Charm,Competitive",Wigglytuff,40,85,50,Balloon Pokémon,45,435,"Normal,Fairy",12.0 kg (26.5 lbs)
45,35,0.8 m (2′07″),Infiltrator,40,Inner Focus,Zubat,41,30,40,Bat Pokémon,55,245,"Poison,Flying",7.5 kg (16.5 lbs)
80,70,1.6 m (5′03″),Infiltrator,75,Inner Focus,Golbat,42,65,75,Bat Pokémon,90,455,"Poison,Flying",55.0 kg (121.3 lbs)
50,55,0.5 m (1′08″),Run Away,45,Chlorophyll,Oddish,43,75,65,Weed Pokémon,30,320,"Grass,Poison",5.4 kg (11.9 lbs)
65,70,0.8 m (2′07″),Stench,60,Chlorophyll,Gloom,44,85,75,Weed Pokémon,40,395,"Grass,Poison",8.6 kg (19.0 lbs)
80,85,1.2 m (3′11″),Effect Spore,75,Chlorophyll,Vileplume,45,110,90,Flower Pokémon,50,490,"Grass,Poison",18.6 kg (41.0 lbs)
70,55,0.3 m (1′00″),Damp,35,"Effect Spore,Dry Skin",Paras,46,45,55,Mushroom Pokémon,25,285,"Bug,Grass",5.4 kg (11.9 lbs)
95,80,1.0 m (3′03″),Damp,60,"Effect Spore,Dry Skin",Parasect,47,60,80,Mushroom Pokémon,30,405,"Bug,Grass",29.5 kg (65.0 lbs)
55,50,1.0 m (3′03″),Run Away,60,"Compound Eyes,Tinted Lens",Venonat,48,40,55,Insect Pokémon,45,305,"Bug,Poison",30.0 kg (66.1 lbs)
65,60,1.5 m (4′11″),Wonder Skin,70,"Shield Dust,Tinted Lens",Venomoth,49,90,75,Poison Moth Pokémon,90,450,"Bug,Poison",12.5 kg (27.6 lbs)
55,25,"0.2 m (0′08″),0.2 m (0′08″)","Sand Force,Sand Force",10,"Sand Veil,Arena Trap,Sand Veil,Tangling Hair",Diglett,50,35,45,"Mole Pokémon,Mole Pokémon",95,265,"Ground,Ground,Steel","0.8 kg (1.8 lbs),1.0 kg (2.2 lbs)"
100,50,"0.7 m (2′04″),0.7 m (2′04″)","Sand Force,Sand Force",35,"Sand Veil,Arena Trap,Sand Veil,Tangling Hair",Dugtrio,51,50,70,"Mole Pokémon,Mole Pokémon",120,425,"Ground,Ground,Steel","33.3 kg (73.4 lbs),66.6 kg (146.8 lbs)"
45,35,"0.4 m (1′04″),0.4 m (1′04″),0.4 m (1′04″)","Unnerve,Rattled,Unnerve",40,"Pickup,Technician,Pickup,Technician,Pickup,Tough Claws",Meowth,52,40,40,"Scratch Cat Pokémon,Scratch Cat Pokémon,Scratch Cat Pokémon",90,290,"Normal,Dark,Steel","4.2 kg (9.3 lbs),4.2 kg (9.3 lbs),7.5 kg (16.5 lbs)"
70,60,"1.0 m (3′03″),1.1 m (3′07″)","Unnerve,Rattled",65,"Limber,Technician,Fur Coat,Technician",Persian,53,65,65,"Classy Cat Pokémon,Classy Cat Pokémon",115,440,"Normal,Dark","32.0 kg (70.5 lbs),33.0 kg (72.8 lbs)"
52,48,0.8 m (2′07″),Swift Swim,50,"Damp,Cloud Nine",Psyduck,54,65,50,Duck Pokémon,55,320,Water,19.6 kg (43.2 lbs)
82,78,1.7 m (5′07″),Swift Swim,80,"Damp,Cloud Nine",Golduck,55,95,80,Duck Pokémon,85,500,Water,76.6 kg (168.9 lbs)
80,35,0.5 m (1′08″),Defiant,40,"Vital Spirit,Anger Point",Mankey,56,35,45,Pig Monkey Pokémon,70,305,Fighting,28.0 kg (61.7 lbs)
105,60,1.0 m (3′03″),Defiant,65,"Vital Spirit,Anger Point",Primeape,57,60,70,Pig Monkey Pokémon,95,455,Fighting,32.0 kg (70.5 lbs)
70,45,0.7 m (2′04″),Justified,55,"Intimidate,Flash Fire",Growlithe,58,70,50,Puppy Pokémon,60,350,Fire,19.0 kg (41.9 lbs)
110,80,1.9 m (6′03″),Justified,90,"Intimidate,Flash Fire",Arcanine,59,100,80,Legendary Pokémon,95,555,Fire,155.0 kg (341.7 lbs)
50,40,0.6 m (2′00″),Swift Swim,40,"Water Absorb,Damp",Poliwag,60,40,40,Tadpole Pokémon,90,300,Water,12.4 kg (27.3 lbs)
65,65,1.0 m (3′03″),Swift Swim,65,"Water Absorb,Damp",Poliwhirl,61,50,50,Tadpole Pokémon,90,385,Water,20.0 kg (44.1 lbs)
95,95,1.3 m (4′03″),Swift Swim,90,"Water Absorb,Damp",Poliwrath,62,70,90,Tadpole Pokémon,70,510,"Water,Fighting",54.0 kg (119.0 lbs)
20,15,0.9 m (2′11″),Magic Guard,25,"Synchronize,Inner Focus",Abra,63,105,55,Psi Pokémon,90,310,Psychic,19.5 kg (43.0 lbs)
35,30,1.3 m (4′03″),Magic Guard,40,"Synchronize,Inner Focus",Kadabra,64,120,70,Psi Pokémon,105,400,Psychic,56.5 kg (124.6 lbs)
50,45,"1.5 m (4′11″),1.2 m (3′11″)",Magic Guard,55,"Synchronize,Inner Focus,Trace",Alakazam,65,135,95,"Psi Pokémon,Psi Pokémon",120,500,"Psychic,Psychic","48.0 kg (105.8 lbs),48.0 kg (105.8 lbs)"
80,50,0.8 m (2′07″),Steadfast,70,"Guts,No Guard",Machop,66,35,35,Superpower Pokémon,35,305,Fighting,19.5 kg (43.0 lbs)
100,70,1.5 m (4′11″),Steadfast,80,"Guts,No Guard",Machoke,67,50,60,Superpower Pokémon,45,405,Fighting,70.5 kg (155.4 lbs)
130,80,1.6 m (5′03″),Steadfast,90,"Guts,No Guard",Machamp,68,65,85,Superpower Pokémon,55,505,Fighting,130.0 kg (286.6 lbs)
75,35,0.7 m (2′04″),Gluttony,50,Chlorophyll,Bellsprout,69,70,30,Flower Pokémon,40,300,"Grass,Poison",4.0 kg (8.8 lbs)
90,50,1.0 m (3′03″),Gluttony,65,Chlorophyll,Weepinbell,70,85,45,Flycatcher Pokémon,55,390,"Grass,Poison",6.4 kg (14.1 lbs)
105,65,1.7 m (5′07″),Gluttony,80,Chlorophyll,Victreebel,71,100,70,Flycatcher Pokémon,70,490,"Grass,Poison",15.5 kg (34.2 lbs)
40,35,0.9 m (2′11″),Rain Dish,40,"Clear Body,Liquid Ooze",Tentacool,72,50,100,Jellyfish Pokémon,70,335,"Water,Poison",45.5 kg (100.3 lbs)
70,65,1.6 m (5′03″),Rain Dish,80,"Clear Body,Liquid Ooze",Tentacruel,73,80,120,Jellyfish Pokémon,100,515,"Water,Poison",55.0 kg (121.3 lbs)
80,100,"0.4 m (1′04″),0.4 m (1′04″)","Sand Veil,Galvanize",40,"Rock Head,Sturdy,Magnet Pull,Sturdy",Geodude,74,30,30,"Rock Pokémon,Rock Pokémon",20,300,"Rock,Ground,Rock,Electric","20.0 kg (44.1 lbs),20.3 kg (44.8 lbs)"
95,115,"1.0 m (3′03″),1.0 m (3′03″)","Sand Veil,Galvanize",55,"Rock Head,Sturdy,Magnet Pull,Sturdy",Graveler,75,45,45,"Rock Pokémon,Rock Pokémon",35,390,"Rock,Ground,Rock,Electric","105.0 kg (231.5 lbs),110.0 kg (242.5 lbs)"
120,130,"1.4 m (4′07″),1.7 m (5′07″)","Sand Veil,Galvanize",80,"Rock Head,Sturdy,Magnet Pull,Sturdy",Golem,76,55,65,"Megaton Pokémon,Megaton Pokémon",45,495,"Rock,Ground,Rock,Electric","300.0 kg (661.4 lbs),316.0 kg (696.7 lbs)"
85,55,"1.0 m (3′03″),0.8 m (2′07″)","Flame Body,Anticipation",50,"Run Away,Flash Fire,Run Away,Pastel Veil",Ponyta,77,65,65,"Fire Horse Pokémon,Unique Horn Pokémon",90,410,"Fire,Psychic","30.0 kg (66.1 lbs),24.0 kg (52.9 lbs)"
100,70,"1.7 m (5′07″),1.7 m (5′07″)","Flame Body,Anticipation",65,"Run Away,Flash Fire,Run Away,Pastel Veil",Rapidash,78,80,80,"Fire Horse Pokémon,Unique Horn Pokémon",105,500,"Fire,Psychic,Fairy","95.0 kg (209.4 lbs),80.0 kg (176.4 lbs)"
65,65,"1.2 m (3′11″),1.2 m (3′11″)",Regenerator,90,"Oblivious,Own Tempo,Gluttony,Own Tempo",Slowpoke,79,40,40,"Dopey Pokémon,Dopey Pokémon",15,315,"Water,Psychic,Psychic","36.0 kg (79.4 lbs),36.0 kg (79.4 lbs)"
75,110,"1.6 m (5′03″),2.0 m (6′07″),—",Regenerator,95,"Oblivious,Own Tempo,Shell Armor",Slowbro,80,100,80,"Hermit Crab Pokémon,Hermit Crab Pokémon,—",30,490,"Water,Psychic,Water,Psychic","78.5 kg (173.1 lbs),120.0 kg (264.6 lbs),—"
35,70,0.3 m (1′00″),Analytic,25,"Magnet Pull,Sturdy",Magnemite,81,95,55,Magnet Pokémon,45,325,"Electric,Steel",6.0 kg (13.2 lbs)
60,95,1.0 m (3′03″),Analytic,50,"Magnet Pull,Sturdy",Magneton,82,120,70,Magnet Pokémon,70,465,"Electric,Steel",60.0 kg (132.3 lbs)
90,55,"0.8 m (2′07″),0.8 m (2′07″)","Defiant,Scrappy",52,"Keen Eye,Inner Focus,Steadfast",Farfetch'd,83,58,62,"Wild Duck Pokémon,Wild Duck Pokémon",60,377,"Normal,Flying,Fighting","15.0 kg (33.1 lbs),42.0 kg (92.6 lbs)"
85,45,1.4 m (4′07″),Tangled Feet,35,"Run Away,Early Bird",Doduo,84,35,35,Twin Bird Pokémon,75,310,"Normal,Flying",39.2 kg (86.4 lbs)
110,70,1.8 m (5′11″),Tangled Feet,60,"Run Away,Early Bird",Dodrio,85,60,60,Triple Bird Pokémon,110,470,"Normal,Flying",85.2 kg (187.8 lbs)
45,55,1.1 m (3′07″),Ice Body,65,"Thick Fat,Hydration",Seel,86,45,70,Sea Lion Pokémon,45,325,Water,90.0 kg (198.4 lbs)
70,80,1.7 m (5′07″),Ice Body,90,"Thick Fat,Hydration",Dewgong,87,70,95,Sea Lion Pokémon,70,475,"Water,Ice",120.0 kg (264.6 lbs)
80,50,"0.9 m (2′11″),0.7 m (2′04″)","Poison Touch,Power of Alchemy",80,"Stench,Sticky Hold,Poison Touch,Gluttony",Grimer,88,40,50,"Sludge Pokémon,Sludge Pokémon",25,325,"Poison,Poison,Dark","30.0 kg (66.1 lbs),42.0 kg (92.6 lbs)"
105,75,"1.2 m (3′11″),1.0 m (3′03″)","Poison Touch,Power of Alchemy",105,"Stench,Sticky Hold,Poison Touch,Gluttony",Muk,89,65,100,"Sludge Pokémon,Sludge Pokémon",50,500,"Poison,Poison,Dark","30.0 kg (66.1 lbs),52.0 kg (114.6 lbs)"
65,100,0.3 m (1′00″),Overcoat,30,"Shell Armor,Skill Link",Shellder,90,45,25,Bivalve Pokémon,40,305,Water,4.0 kg (8.8 lbs)
95,180,1.5 m (4′11″),Overcoat,50,"Shell Armor,Skill Link",Cloyster,91,85,45,Bivalve Pokémon,70,525,"Water,Ice",132.5 kg (292.1 lbs)
35,30,1.3 m (4′03″),,30,Levitate,Gastly,92,100,35,Gas Pokémon,80,310,"Ghost,Poison",0.1 kg (0.2 lbs)
50,45,1.6 m (5′03″),,45,Levitate,Haunter,93,115,55,Gas Pokémon,95,405,"Ghost,Poison",0.1 kg (0.2 lbs)
65,60,"1.5 m (4′11″),1.4 m (4′07″)",,60,"Cursed Body,Shadow Tag",Gengar,94,130,75,"Shadow Pokémon,Shadow Pokémon",110,500,"Ghost,Poison,Ghost,Poison","40.5 kg (89.3 lbs),40.5 kg (89.3 lbs)"
45,160,8.8 m (28′10″),Weak Armor,35,"Rock Head,Sturdy",Onix,95,30,45,Rock Snake Pokémon,70,385,"Rock,Ground",210.0 kg (463.0 lbs)
48,45,1.0 m (3′03″),Inner Focus,60,"Insomnia,Forewarn",Drowzee,96,43,90,Hypnosis Pokémon,42,328,Psychic,32.4 kg (71.4 lbs)
73,70,1.6 m (5′03″),Inner Focus,85,"Insomnia,Forewarn",Hypno,97,73,115,Hypnosis Pokémon,67,483,Psychic,75.6 kg (166.7 lbs)
105,90,0.4 m (1′04″),Sheer Force,30,"Hyper Cutter,Shell Armor",Krabby,98,25,25,River Crab Pokémon,50,325,Water,6.5 kg (14.3 lbs)
130,115,1.3 m (4′03″),Sheer Force,55,"Hyper Cutter,Shell Armor",Kingler,99,50,50,Pincer Pokémon,75,475,Water,60.0 kg (132.3 lbs)
30,50,0.5 m (1′08″),Aftermath,40,"Soundproof,Static",Voltorb,100,55,55,Ball Pokémon,100,330,Electric,10.4 kg (22.9 lbs)
50,70,1.2 m (3′11″),Aftermath,60,"Soundproof,Static",Electrode,101,80,80,Ball Pokémon,150,490,Electric,66.6 kg (146.8 lbs)
40,80,0.4 m (1′04″),Harvest,60,Chlorophyll,Exeggcute,102,60,45,Egg Pokémon,40,325,"Grass,Psychic",2.5 kg (5.5 lbs)
95,85,"2.0 m (6′07″),10.9 m (35′09″)","Harvest,Harvest",95,"Chlorophyll,Frisk",Exeggutor,103,125,75,"Coconut Pokémon,Coconut Pokémon",55,530,"Grass,Psychic,Grass,Dragon","120.0 kg (264.6 lbs),415.6 kg (916.2 lbs)"
50,95,0.4 m (1′04″),Battle Armor,50,"Rock Head,Lightning Rod",Cubone,104,40,50,Lonely Pokémon,35,320,Ground,6.5 kg (14.3 lbs)
80,110,"1.0 m (3′03″),1.0 m (3′03″)","Battle Armor,Rock Head",60,"Rock Head,Lightning Rod,Cursed Body,Lightning Rod",Marowak,105,50,80,"Bone Keeper Pokémon,Bone Keeper Pokémon",45,425,"Ground,Fire,Ghost","45.0 kg (99.2 lbs),34.0 kg (75.0 lbs)"
120,53,1.5 m (4′11″),Unburden,50,"Limber,Reckless",Hitmonlee,106,35,110,Kicking Pokémon,87,455,Fighting,49.8 kg (109.8 lbs)
105,79,1.4 m (4′07″),Inner Focus,50,"Keen Eye,Iron Fist",Hitmonchan,107,35,110,Punching Pokémon,76,455,Fighting,50.2 kg (110.7 lbs)
55,75,1.2 m (3′11″),Cloud Nine,90,"Own Tempo,Oblivious",Lickitung,108,60,75,Licking Pokémon,30,385,Normal,65.5 kg (144.4 lbs)
65,95,0.6 m (2′00″),Stench,40,"Levitate,Neutralizing Gas",Koffing,109,60,45,Poison Gas Pokémon,35,340,Poison,1.0 kg (2.2 lbs)
90,120,"1.2 m (3′11″),3.0 m (9′10″)","Stench,Misty Surge",65,"Levitate,Neutralizing Gas,Levitate,Neutralizing Gas",Weezing,110,85,70,"Poison Gas Pokémon,Poison Gas Pokémon",60,490,"Poison,Poison,Fairy","9.5 kg (20.9 lbs),16.0 kg (35.3 lbs)"
85,95,1.0 m (3′03″),Reckless,80,"Lightning Rod,Rock Head",Rhyhorn,111,30,30,Spikes Pokémon,25,345,"Ground,Rock",115.0 kg (253.5 lbs)
130,120,1.9 m (6′03″),Reckless,105,"Lightning Rod,Rock Head",Rhydon,112,45,45,Drill Pokémon,40,485,"Ground,Rock",120.0 kg (264.6 lbs)
5,5,1.1 m (3′07″),Healer,250,"Natural Cure,Serene Grace",Chansey,113,35,105,Egg Pokémon,50,450,Normal,34.6 kg (76.3 lbs)
55,115,1.0 m (3′03″),Regenerator,65,"Chlorophyll,Leaf Guard",Tangela,114,100,40,Vine Pokémon,60,435,Grass,35.0 kg (77.2 lbs)
95,80,"2.2 m (7′03″),2.2 m (7′03″)",Inner Focus,105,"Early Bird,Scrappy,Parental Bond",Kangaskhan,115,40,80,"Parent Pokémon,Parent Pokémon",90,490,"Normal,Normal","80.0 kg (176.4 lbs),100.0 kg (220.5 lbs)"
40,70,0.4 m (1′04″),Damp,30,"Swift Swim,Sniper",Horsea,116,70,25,Dragon Pokémon,60,295,Water,8.0 kg (17.6 lbs)
65,95,1.2 m (3′11″),Damp,55,"Poison Point,Sniper",Seadra,117,95,45,Dragon Pokémon,85,440,Water,25.0 kg (55.1 lbs)
67,60,0.6 m (2′00″),Lightning Rod,45,"Swift Swim,Water Veil",Goldeen,118,35,50,Goldfish Pokémon,63,320,Water,15.0 kg (33.1 lbs)
92,65,1.3 m (4′03″),Lightning Rod,80,"Swift Swim,Water Veil",Seaking,119,65,80,Goldfish Pokémon,68,450,Water,39.0 kg (86.0 lbs)
45,55,0.8 m (2′07″),Analytic,30,"Illuminate,Natural Cure",Staryu,120,70,55,Star Shape Pokémon,85,340,Water,34.5 kg (76.1 lbs)
75,85,1.1 m (3′07″),Analytic,60,"Illuminate,Natural Cure",Starmie,121,100,85,Mysterious Pokémon,115,520,"Water,Psychic",80.0 kg (176.4 lbs)
45,65,"1.3 m (4′03″),1.4 m (4′07″)","Technician,Ice Body",40,"Soundproof,Filter,Vital Spirit,Screen Cleaner",Mr. Mime,122,100,120,"Barrier Pokémon,Dancing Pokémon",90,460,"Psychic,Fairy,Psychic,Ice","54.5 kg (120.2 lbs),56.8 kg (125.2 lbs)"
110,80,1.5 m (4′11″),Steadfast,70,"Swarm,Technician",Scyther,123,55,80,Mantis Pokémon,105,500,"Bug,Flying",56.0 kg (123.5 lbs)
50,35,1.4 m (4′07″),Dry Skin,65,"Oblivious,Forewarn",Jynx,124,115,95,Human Shape Pokémon,95,455,"Ice,Psychic",40.6 kg (89.5 lbs)
83,57,1.1 m (3′07″),Vital Spirit,65,Static,Electabuzz,125,95,85,Electric Pokémon,105,490,Electric,30.0 kg (66.1 lbs)
95,57,1.3 m (4′03″),Vital Spirit,65,Flame Body,Magmar,126,100,85,Spitfire Pokémon,93,495,Fire,44.5 kg (98.1 lbs)
125,100,"1.5 m (4′11″),1.7 m (5′07″)",Moxie,65,"Hyper Cutter,Mold Breaker,Aerilate",Pinsir,127,55,70,"Stag Beetle Pokémon,Stag Beetle Pokémon",85,500,"Bug,Bug,Flying","55.0 kg (121.3 lbs),59.0 kg (130.1 lbs)"
100,95,1.4 m (4′07″),Sheer Force,75,"Intimidate,Anger Point",Tauros,128,40,70,Wild Bull Pokémon,110,490,Normal,88.4 kg (194.9 lbs)
10,55,0.9 m (2′11″),Rattled,20,Swift Swim,Magikarp,129,15,20,Fish Pokémon,80,200,Water,10.0 kg (22.0 lbs)
125,79,"6.5 m (21′04″),6.5 m (21′04″)",Moxie,95,"Intimidate,Mold Breaker",Gyarados,130,60,100,"Atrocious Pokémon,Atrocious Pokémon",81,540,"Water,Flying,Water,Dark","235.0 kg (518.1 lbs),305.0 kg (672.4 lbs)"
85,80,2.5 m (8′02″),Hydration,130,"Water Absorb,Shell Armor",Lapras,131,85,95,Transport Pokémon,60,535,"Water,Ice",220.0 kg (485.0 lbs)
48,48,0.3 m (1′00″),Imposter,48,Limber,Ditto,132,48,48,Transform Pokémon,48,288,Normal,4.0 kg (8.8 lbs)
55,50,"0.3 m (1′00″),0.3 m (1′00″)",Anticipation,55,"Run Away,Adaptability",Eevee,133,45,65,"Evolution Pokémon,Evolution Pokémon",55,325,"Normal,Normal","6.5 kg (14.3 lbs),6.5 kg (14.3 lbs)"
65,60,1.0 m (3′03″),Hydration,130,Water Absorb,Vaporeon,134,110,95,Bubble Jet Pokémon,65,525,Water,29.0 kg (63.9 lbs)
65,60,0.8 m (2′07″),Quick Feet,65,Volt Absorb,Jolteon,135,110,95,Lightning Pokémon,130,525,Electric,24.5 kg (54.0 lbs)
130,60,0.9 m (2′11″),Guts,65,Flash Fire,Flareon,136,95,110,Flame Pokémon,65,525,Fire,25.0 kg (55.1 lbs)
60,70,0.8 m (2′07″),Analytic,65,"Trace,Download",Porygon,137,85,75,Virtual Pokémon,40,395,Normal,36.5 kg (80.5 lbs)
40,100,0.4 m (1′04″),Weak Armor,35,"Swift Swim,Shell Armor",Omanyte,138,90,55,Spiral Pokémon,35,355,"Rock,Water",7.5 kg (16.5 lbs)
60,125,1.0 m (3′03″),Weak Armor,70,"Swift Swim,Shell Armor",Omastar,139,115,70,Spiral Pokémon,55,495,"Rock,Water",35.0 kg (77.2 lbs)
